time,z_f,QH,wind_direction_corrected,kdown,stab_param,L,ustar,wind_speed_adj,qstar,sa_area_km2,z_d,z_0,t_air,press_adj,r_h
2016-05-13 00:00:00,,,,-0.7553109,,,,,-24.680205,,,,,,
2016-05-13 00:01:00,,,,-0.7583808666666666,,,,,-25.72220225,,,,11.3,,89.0
2016-05-13 00:02:00,,,,-0.9063861833333333,,,,,-28.369132833333328,,,,11.3,,89.0
2016-05-13 00:03:00,,,,-1.0433653416666666,,,,,-29.050248083333333,,,,11.3,,89.0
2016-05-13 00:04:00,,,,-1.2163610333333335,,,,,-32.557492,,,,11.219999999999999,,89.0
2016-05-13 00:05:00,,,,-1.709091666666667,,,,,-44.79751591666667,,,,11.2,,89.9
2016-05-13 00:06:00,,,,-2.0428765833333333,,,,,-50.69039758333332,,,,11.2,,90.0
2016-05-13 00:07:00,,,,-2.1810403333333337,,,,,-45.421043250000004,,,,11.2,,90.0
2016-05-13 00:08:00,,,,-1.8698695,,,,,-32.542188083333336,,,,11.233333333333333,,90.0
2016-05-13 00:09:00,,,,-1.5878367500000001,,,,,-34.931548416666665,,,,11.275862068965518,,90.0
2016-05-13 00:10:00,,,,-1.4359039166666667,,,,,-36.98070916666667,,,,11.233333333333333,,90.0
2016-05-13 00:11:00,,,,-1.4682236666666668,,,,,-31.007463333333337,,,,11.233333333333333,,90.0
2016-05-13 00:12:00,,,,-1.3336341666666665,,,,,-24.595195583333332,,,,11.2,,90.0
2016-05-13 00:13:00,,,,-1.1724390000000002,,,,,-27.539677916666665,,,,11.213333333333333,,90.0
2016-05-13 00:14:00,,,,-1.1141425833333334,,,,,-27.823083500000006,,,,11.3,,90.0
2016-05-13 00:15:00,,,,-1.3202101083333335,,,,,-32.9829535,,,,11.3,,90.0
2016-05-13 00:16:00,,,,-1.5397345833333331,,,,,-34.44019758333334,,,,11.3,,90.0
2016-05-13 00:17:00,,,,-1.4899090833333333,,,,,-34.2538855,,,,11.3,,90.0
2016-05-13 00:18:00,,,,-1.5646175833333336,,,,,-42.50277925,,,,11.3,,90.0
2016-05-13 00:19:00,,,,-1.764594916666667,,,,,-40.66489108333333,,,,11.3,,90.0
